t,p,D,T,S,U,D_bar,Z_bar,gradient_estimate,delta_hat,upsilon_hat,zeta,state_d_a,state_name,experiment_type,n,cumulative_regret,experimentation
161,23.67066630702677,3461,4124,2988.1270516444106,168319.20580907824,0.3461,0.4124,-0.08277515430601101,0.02936966063080174,0.014257720482456685,0.5,0.3,Low ($d_a = 0.3$),local,10000,5652.478901405674,Local
162,23.66044715217418,6576,5208,4588.890113539709,258536.01706463585,0.6576,0.5208,-0.22604000574143207,0.007842820054971283,0.007014708455039029,0.5,0.7,High ($d_a = 0.7$),local,10000,5652.545274893028,Local
163,23.632712182144555,2463,4062,2320.2384827957767,130785.55036581376,0.2463,0.4062,-0.16529443216342138,0.02597506287721732,0.011590781646237065,0.5,0.3,Low ($d_a = 0.3$),local,10000,5652.598126859171,Local
164,23.61255432456365,8299,5137,4820.950774779071,271841.0999168077,0.8299,0.5137,0.38239686178334015,0.02438356877808476,0.02013077154451326,0.5,0.7,High ($d_a = 0.7$),local,10000,5652.6421167608305,Local
165,23.65890545932527,2847,3942,2579.2185802967188,145315.99787356227,0.2847,0.3942,-0.13593644837880076,0.02589769771351481,0.012152413024451723,0.5,0.3,Low ($d_a = 0.3$),local,10000,5652.707698250725,Local
166,23.642527573978423,6140,5191,4469.431467900539,251885.8607121978,0.614,0.5191,-0.009758359741095235,0.019207640768305653,0.014449153343482707,0.5,0.7,High ($d_a = 0.7$),local,10000,5652.765159588689,Local
167,23.641358908141168,6127,4793,4240.2799697703795,238976.41694528682,0.6127,0.4793,-0.7774457391103291,-0.008974038302035702,-0.010471671500321713,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5652.822062008444,Local
168,23.548805843961368,7475,5196,4754.490595807569,268396.6717369929,0.7475,0.5196,0.21037974507454782,0.022125666566825644,0.017695359786281593,0.5,0.7,High ($d_a = 0.7$),local,10000,5652.843374859829,Local
169,23.573702855212794,3984,4779,3448.15543208689,194566.64301234696,0.3984,0.4779,-0.13237938786134146,0.025639283985455143,0.014235060728610152,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5652.8725769627235,Local
170,23.558128809582048,5948,4659,4120.006724782305,232540.88886381857,0.5948,0.4659,0.02258831040761411,0.016323399846592465,0.012879512493320271,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5652.896698836693,Local
171,23.56077071723206,2578,4060,2407.4117746102684,135872.46512526416,0.2578,0.406,-0.16845983477259854,0.02142555591897194,0.010747736641816021,0.5,0.3,Low ($d_a = 0.3$),local,10000,5652.921648331223,Local
172,23.541182364351524,4828,4866,3877.4808360687457,218917.98340932728,0.4828,0.4866,-0.2690683843144029,0.006141069722777518,0.005338686444260456,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5652.9407934084165,Local
173,23.510076192754482,6651,5151,4571.632254987191,258251.1577589724,0.6651,0.5151,0.23245246467969777,0.028369828369828386,0.020123460539360545,0.5,0.7,High ($d_a = 0.7$),local,10000,5652.952298022801,Local
174,23.536794866855598,4322,4742,3610.0773300896158,203836.53683536418,0.4322,0.4742,-0.06157358728479162,0.029760751294030916,0.01616791772374156,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5652.970248191479,Local
175,23.52975788545162,5132,4743,3937.7676391012733,222366.69197088247,0.5132,0.4743,0.047480182626631395,0.026670157748142014,0.01684087523088576,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5652.986362274503,Local
176,23.5351533607501,4086,4794,3507.238287478219,198035.6720297631,0.4086,0.4794,-0.12995379099826224,0.024280117202330646,0.013982998900711972,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5653.003875285527,Local
177,23.520469316569507,5742,4807,4154.020463122182,234617.12620650747,0.5742,0.4807,-0.029853408670776016,0.016198281584460572,0.012528980565529483,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5653.017717440823,Local
178,23.51711500098852,2727,4110,2522.9119360801824,142501.34474825033,0.2727,0.411,-0.16175103075151778,0.024230648121836743,0.01167049737723891,0.5,0.3,Low ($d_a = 0.3$),local,10000,5653.030781559053,Local
179,23.49904226012243,1582,4003,1558.4328855775277,88052.95060845136,0.1582,0.4003,-0.14394392584321872,0.025495564600601185,0.010536072061903759,0.5,0.3,Low ($d_a = 0.3$),local,10000,5653.040040931468,Local
180,23.483048490584295,6713,5216,4624.529625230754,261364.31658302285,0.6713,0.5216,0.2999378944791875,0.032852833362456486,0.02232962540084506,0.5,0.7,High ($d_a = 0.7$),local,10000,5653.046478083356,Local
181,23.516190799366527,4209,4769,3563.4072513568385,201274.8152897934,0.4209,0.4769,-0.11142639153602574,0.02441263976689942,0.014247337368319572,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5653.059331786251,Local
182,23.503946140955975,4200,4793,3566.1068800953894,201470.96636497654,0.42,0.4793,-0.08449627338425353,0.030491328346646623,0.01609903994753223,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5653.069558964787,Local
183,23.49471157555879,7038,5143,4644.203297833707,262422.04684583464,0.7038,0.5143,0.08075612426453899,0.01829158413047488,0.014828656572330389,0.5,0.7,High ($d_a = 0.7$),local,10000,5653.078003646305,Local
184,23.50348941515276,4262,4028,3310.721832320639,187044.2310431878,0.4262,0.4028,0.10420419583700441,0.03211320684673819,0.017286345543736162,0.5,0.3,Low ($d_a = 0.3$),local,10000,5653.088138656522,Local
185,23.514754733621626,6854,5150,4613.35238193823,260586.3407940118,0.6854,0.515,0.06184302760249749,0.018367664201474492,0.014705869223634116,0.5,0.7,High ($d_a = 0.7$),local,10000,5653.100668796172,Local
186,23.52140452153587,4991,4834,3927.9936738980427,221847.5657500537,0.4991,0.4834,-0.10432918915339506,0.016613160475053027,0.01199662518721584,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5653.114731884834,Local
187,23.51024631948738,1853,4069,1808.7310972908529,102174.77416024359,0.1853,0.4069,-0.16388117437541572,0.0154127577440633,0.0084713524145815,0.5,0.3,Low ($d_a = 0.3$),local,10000,5653.1262730236,Local
